water,carbohydrates,zinc,vitamin D,vitamin B12,vitamin C,calcium,iron,density,fatty acid,vitamin K,vitamin E,protein,quality
11.5,0.18,0.97,0.51,4,0.104,4,23,0.9996,0.97,0.104,0.18,10.1,6
10.3,0.32,0.82,0.45,6.4,0.073,5,13,0.9976,0.82,0.073,0.32,12.6,8
8.9,0.4,0.77,0.32,5.6,0.087,10,47,0.9991,0.77,0.087,0.4,10.5,7
11.4,0.26,0.82,0.44,3.6,0.071,6,19,0.9986,0.82,0.071,0.26,9.3,6
7.7,0.27,1.08,0.68,3.5,0.358,5,10,0.9972,1.08,0.358,0.27,9.9,7
7.6,0.52,0.57,0.12,3,0.067,12,53,0.9971,0.57,0.067,0.52,9.1,5
8.9,0.4,0.77,0.32,5.6,0.087,10,47,0.9991,0.77,0.087,0.4,10.5,7
9.9,0.59,0.71,0.07,3.4,0.102,32,71,1.00015,0.71,0.102,0.59,9.8,5
9.9,0.59,0.71,0.07,3.4,0.102,32,71,1.00015,0.71,0.102,0.59,9.8,5
12,0.45,0.76,0.55,2,0.073,25,49,0.9997,0.76,0.073,0.45,10.3,6
7.5,0.4,0.7,0.12,3,0.092,29,53,0.9967,0.7,0.092,0.4,10.3,6
8.7,0.52,0.86,0.09,2.5,0.091,20,49,0.9976,0.86,0.091,0.52,10.6,7
11.6,0.42,0.95,0.53,3.3,0.105,33,98,1.001,0.95,0.105,0.42,9.2,5
8.7,0.52,0.86,0.09,2.5,0.091,20,49,0.9976,0.86,0.091,0.52,10.6,7
11,0.2,0.71,0.48,2,0.343,6,18,0.9979,0.71,0.343,0.2,10.5,5
10.4,0.55,0.64,0.23,2.7,0.091,18,48,0.9994,0.64,0.091,0.55,10.3,6
6.9,0.36,0.6,0.25,2.4,0.098,5,16,0.9964,0.6,0.098,0.36,10.1,6
13.3,0.34,0.81,0.52,3.2,0.094,17,53,1.0014,0.81,0.094,0.34,9.5,6
10.8,0.5,0.64,0.46,2.5,0.073,5,27,1.0001,0.64,0.073,0.5,9.5,5
10.6,0.83,0.52,0.37,2.6,0.086,26,70,0.9981,0.52,0.086,0.83,9.9,5
7.1,0.63,0.73,0.06,2,0.083,8,29,0.99855,0.73,0.083,0.63,9.6,5
7.2,0.65,0.8,0.02,2.3,0.094,5,31,0.9993,0.8,0.094,0.65,9.7,5
6.9,0.67,0.71,0.06,2.1,0.08,8,33,0.99845,0.71,0.08,0.67,9.6,5
7.5,0.53,0.59,0.06,2.6,0.086,20,44,0.9965,0.59,0.086,0.53,10.7,6
11.1,0.18,0.64,0.48,1.5,0.068,7,15,0.9973,0.64,0.068,0.18,10.1,6
8.3,0.705,0.72,0.12,2.6,0.092,12,28,0.9994,0.72,0.092,0.705,10,5
7.4,0.67,0.54,0.12,1.6,0.186,5,21,0.996,0.54,0.186,0.67,9.5,5
8.4,0.65,0.52,0.6,2.1,0.112,12,90,0.9973,0.52,0.112,0.65,9.2,5
10.3,0.53,0.59,0.48,2.5,0.063,6,25,0.9998,0.59,0.063,0.53,9.3,6
7.6,0.62,0.52,0.32,2.2,0.082,7,54,0.9966,0.52,0.082,0.62,9.4,5
10.3,0.41,0.62,0.42,2.4,0.213,6,14,0.9994,0.62,0.213,0.41,9.5,6
10.3,0.43,0.63,0.44,2.4,0.214,5,12,0.9994,0.63,0.214,0.43,9.5,6
7.4,0.29,0.53,0.38,1.7,0.062,9,30,0.9968,0.53,0.062,0.29,9.5,6
10.3,0.53,0.59,0.48,2.5,0.063,6,25,0.9998,0.59,0.063,0.53,9.3,6
7.9,0.53,0.54,0.24,2,0.072,15,105,0.996,0.54,0.072,0.53,9.4,6
9,0.46,0.63,0.31,2.8,0.093,19,98,0.99815,0.63,0.093,0.46,9.5,6
8.6,0.47,0.53,0.3,3,0.076,30,135,0.9976,0.53,0.076,0.47,9.4,5
7.4,0.36,0.68,0.29,2.6,0.087,26,72,0.99645,0.68,0.087,0.36,11,5
7.1,0.35,0.65,0.29,2.5,0.096,20,53,0.9962,0.65,0.096,0.35,11,6
9.6,0.56,0.65,0.23,3.4,0.102,37,92,0.9996,0.65,0.102,0.56,10.1,5
9.6,0.77,0.64,0.12,2.9,0.082,30,74,0.99865,0.64,0.082,0.77,10.4,6
9.8,0.66,0.71,0.39,3.2,0.083,21,59,0.9989,0.71,0.083,0.66,11.5,7
9.6,0.77,0.64,0.12,2.9,0.082,30,74,0.99865,0.64,0.082,0.77,10.4,6
9.8,0.66,0.71,0.39,3.2,0.083,21,59,0.9989,0.71,0.083,0.66,11.5,7
9.3,0.61,0.62,0.26,3.4,0.09,25,87,0.99975,0.62,0.09,0.61,9.7,5
7.8,0.62,0.63,0.05,2.3,0.079,6,18,0.99735,0.63,0.079,0.62,9.3,5
10.3,0.59,0.7,0.42,2.8,0.09,35,73,0.999,0.7,0.09,0.59,9.5,6
10,0.49,0.69,0.2,11,0.071,13,50,1.0015,0.69,0.071,0.49,9.2,6
10,0.49,0.69,0.2,11,0.071,13,50,1.0015,0.69,0.071,0.49,9.2,6
11.6,0.53,0.74,0.66,3.65,0.121,6,14,0.9978,0.74,0.121,0.53,11.5,7
10.3,0.44,0.83,0.5,4.5,0.107,5,13,0.998,0.83,0.107,0.44,11.5,5
13.4,0.27,0.67,0.62,2.6,0.082,6,21,1.0002,0.67,0.082,0.27,9.7,6
10.7,0.46,0.62,0.39,2,0.061,7,15,0.9981,0.62,0.061,0.46,9.5,5
10.2,0.36,0.66,0.64,2.9,0.122,10,41,0.998,0.66,0.122,0.36,12.5,6
10.2,0.36,0.66,0.64,2.9,0.122,10,41,0.998,0.66,0.122,0.36,12.5,6
8,0.58,0.54,0.28,3.2,0.066,21,114,0.9973,0.54,0.066,0.58,9.4,6
8.4,0.56,0.52,0.08,2.1,0.105,16,44,0.9958,0.52,0.105,0.56,11,5
7.9,0.65,0.74,0.01,2.5,0.078,17,38,0.9963,0.74,0.078,0.65,11.7,7
11.9,0.695,0.84,0.53,3.4,0.128,7,21,0.9992,0.84,0.128,0.695,12.2,7
8.9,0.43,0.7,0.45,1.9,0.052,6,16,0.9948,0.7,0.052,0.43,12.5,6
7.8,0.43,0.64,0.32,2.8,0.08,29,58,0.9974,0.64,0.08,0.43,10.3,5
12.4,0.49,1,0.58,3,0.103,28,99,1.0008,1,0.103,0.49,11.5,6
12.5,0.28,1.36,0.54,2.3,0.082,12,29,0.9997,1.36,0.082,0.28,9.8,7
12.2,0.34,1.18,0.5,2.4,0.066,10,21,1,1.18,0.066,0.34,9.2,6
10.6,0.42,0.87,0.48,2.7,0.065,5,18,0.9972,0.87,0.065,0.42,11.3,6
10.9,0.39,0.75,0.47,1.8,0.118,6,14,0.9982,0.75,0.118,0.39,9.8,6
10.9,0.39,0.75,0.47,1.8,0.118,6,14,0.9982,0.75,0.118,0.39,9.8,6
11.9,0.57,0.78,0.5,2.6,0.082,6,32,1.0006,0.78,0.082,0.57,10.7,6
7,0.685,0.81,0,1.9,0.067,40,63,0.9979,0.81,0.067,0.685,9.9,5
6.6,0.815,0.89,0.02,2.7,0.072,17,34,0.9955,0.89,0.072,0.815,12.3,7
13.8,0.49,0.93,0.67,3,0.093,6,15,0.9986,0.93,0.093,0.49,12,6
9.6,0.56,0.92,0.31,2.8,0.089,15,46,0.9979,0.92,0.089,0.56,10,6
9.1,0.785,0.86,0,2.6,0.093,11,28,0.9994,0.86,0.093,0.785,9.4,6
10.7,0.67,0.98,0.22,2.7,0.107,17,34,1.0004,0.98,0.107,0.67,9.9,6
9.1,0.795,0.83,0,2.6,0.096,11,26,0.9994,0.83,0.096,0.795,9.4,6
7.7,0.665,0.73,0,2.4,0.09,8,19,0.9974,0.73,0.09,0.665,9.3,5
13.5,0.53,0.77,0.79,4.8,0.12,23,77,1.0018,0.77,0.12,0.53,13,5
6.1,0.21,0.59,0.4,1.4,0.066,40.5,165,0.9912,0.59,0.066,0.21,11.9,6
6.7,0.75,0.61,0.01,2.4,0.078,17,32,0.9955,0.61,0.078,0.75,12.8,6
11.5,0.41,0.88,0.52,3,0.08,29,55,1.0001,0.88,0.08,0.41,11,5
10.5,0.42,0.75,0.66,2.95,0.116,12,29,0.997,0.75,0.116,0.42,11.7,7
11.9,0.43,0.85,0.66,3.1,0.109,10,23,1,0.85,0.109,0.43,10.4,7
12.6,0.38,0.68,0.66,2.6,0.088,10,41,1.001,0.68,0.088,0.38,9.8,6
8.2,0.7,0.7,0.23,2,0.099,14,81,0.9973,0.7,0.099,0.7,9.4,5
8.6,0.45,0.91,0.31,2.6,0.086,21,50,0.9982,0.91,0.086,0.45,9.9,6
11.9,0.58,0.56,0.66,2.5,0.072,6,37,0.9992,0.56,0.072,0.58,10,5
12.5,0.46,0.87,0.63,2,0.071,6,15,0.9988,0.87,0.071,0.46,10.2,5
12.8,0.615,0.73,0.66,5.8,0.083,7,42,1.0022,0.73,0.083,0.615,10,7
10,0.42,0.93,0.5,3.4,0.107,7,21,0.9979,0.93,0.107,0.42,11.8,6
12.8,0.615,0.73,0.66,5.8,0.083,7,42,1.0022,0.73,0.083,0.615,10,7
10.4,0.575,0.69,0.61,2.6,0.076,11,24,1,0.69,0.076,0.575,9,5
10.3,0.34,0.64,0.52,2.8,0.159,15,75,0.9998,0.64,0.159,0.34,9.4,5
9.4,0.27,1.13,0.53,2.4,0.074,6,18,0.9962,1.13,0.074,0.27,12,7
6.9,0.765,0.78,0.02,2.3,0.063,35,63,0.9975,0.78,0.063,0.765,9.9,5
7.9,0.24,0.87,0.4,1.6,0.056,11,25,0.9967,0.87,0.056,0.24,8.7,6
9.1,0.28,1.04,0.48,1.8,0.067,26,46,0.9967,1.04,0.067,0.28,10.6,6
7.4,0.55,0.63,0.22,2.2,0.106,12,72,0.9959,0.63,0.106,0.55,9.2,5
14,0.41,0.81,0.63,3.8,0.089,6,47,1.0014,0.81,0.089,0.41,10.8,6
11.5,0.54,0.83,0.71,4.4,0.124,6,15,0.9984,0.83,0.124,0.54,11.8,7
11.5,0.45,1.11,0.5,3,0.078,19,47,1.0003,1.11,0.078,0.45,11,6
9.4,0.27,1.13,0.53,2.4,0.074,6,18,0.9962,1.13,0.074,0.27,12,7
11.4,0.625,0.99,0.66,6.2,0.088,6,24,0.9988,0.99,0.088,0.625,13.3,6
8.3,0.42,0.7,0.38,2.5,0.094,24,60,0.9979,0.7,0.094,0.42,10.8,6
8.3,0.26,0.8,0.42,2,0.08,11,27,0.9974,0.8,0.08,0.26,9.4,6
13.7,0.415,0.8,0.68,2.9,0.085,17,43,1.0014,0.8,0.085,0.415,10,6
8.3,0.26,0.8,0.42,2,0.08,11,27,0.9974,0.8,0.08,0.26,9.4,6
8.3,0.26,0.8,0.42,2,0.08,11,27,0.9974,0.8,0.08,0.26,9.4,6
7.7,0.51,0.74,0.28,2.1,0.087,23,54,0.998,0.74,0.087,0.51,9.2,5
7.4,0.63,0.76,0.07,2.4,0.09,11,37,0.9979,0.76,0.09,0.63,9.7,6
7.8,0.54,0.74,0.26,2,0.088,23,48,0.9981,0.74,0.088,0.54,9.2,6
8.3,0.66,0.54,0.15,1.9,0.079,17,42,0.9972,0.54,0.079,0.66,9.6,6
7.8,0.46,0.74,0.26,1.9,0.088,23,53,0.9981,0.74,0.088,0.46,9.2,6
9.6,0.38,0.7,0.31,2.5,0.096,16,49,0.9982,0.7,0.096,0.38,10,7
5.6,0.85,0.82,0.05,1.4,0.045,12,88,0.9924,0.82,0.045,0.85,12.9,8
13.7,0.415,0.8,0.68,2.9,0.085,17,43,1.0014,0.8,0.085,0.415,10,6
9.5,0.37,0.51,0.52,2,0.082,6,26,0.998,0.51,0.082,0.37,9.5,5
8.4,0.665,0.54,0.61,2,0.112,13,95,0.997,0.54,0.112,0.665,9.1,5
12.7,0.6,0.57,0.65,2.3,0.063,6,25,0.9997,0.57,0.063,0.6,9.9,5
12,0.37,0.6,0.76,4.2,0.066,7,38,1.0004,0.6,0.066,0.37,13,7
6.6,0.735,0.53,0.02,7.9,0.122,68,124,0.9994,0.53,0.122,0.735,9.9,5
11.5,0.59,0.65,0.59,2.6,0.087,13,49,0.9988,0.65,0.087,0.59,11,6
11.5,0.59,0.65,0.59,2.6,0.087,13,49,0.9988,0.65,0.087,0.59,11,6
8.7,0.765,0.55,0.22,2.3,0.064,9,42,0.9963,0.55,0.064,0.765,9.4,5
6.6,0.735,0.53,0.02,7.9,0.122,68,124,0.9994,0.53,0.122,0.735,9.9,5
7.7,0.26,0.47,0.3,1.7,0.059,20,38,0.9949,0.47,0.059,0.26,10.8,6
12.2,0.48,0.61,0.54,2.6,0.085,19,64,1,0.61,0.085,0.48,10.5,6
11.4,0.6,0.63,0.49,2.7,0.085,10,41,0.9994,0.63,0.085,0.6,10.5,6
7.7,0.69,0.61,0.05,2.7,0.075,15,27,0.9974,0.61,0.075,0.69,9.1,5
8.7,0.31,0.76,0.46,1.4,0.059,11,25,0.9966,0.76,0.059,0.31,10.1,6
9.8,0.44,0.65,0.47,2.5,0.063,9,28,0.9981,0.65,0.063,0.44,10.8,6
12,0.39,0.63,0.66,3,0.093,12,30,0.9996,0.63,0.093,0.39,10.8,7
10.4,0.34,0.7,0.58,3.7,0.174,6,16,0.997,0.7,0.174,0.34,11.3,6
12.5,0.46,0.57,0.49,4.5,0.07,26,49,0.9981,0.57,0.07,0.46,9.6,4
9,0.43,0.62,0.34,2.5,0.08,26,86,0.9987,0.62,0.08,0.43,9.5,6
9.1,0.45,0.62,0.35,2.4,0.08,23,78,0.9987,0.62,0.08,0.45,9.5,5
7.1,0.735,0.64,0.16,1.9,0.1,15,77,0.9966,0.64,0.1,0.735,9.3,5
9.9,0.4,0.82,0.53,6.7,0.097,6,19,0.9986,0.82,0.097,0.4,11.7,7
8.8,0.52,0.61,0.34,2.7,0.087,24,122,0.9982,0.61,0.087,0.52,9.5,5
8.6,0.725,1.07,0.24,6.6,0.117,31,134,1.0014,1.07,0.117,0.725,9.3,5
10.6,0.48,0.66,0.64,2.2,0.111,6,20,0.997,0.66,0.111,0.48,11.7,6
7,0.58,0.48,0.12,1.9,0.091,34,124,0.9956,0.48,0.091,0.58,10.5,5
11.9,0.38,0.76,0.51,2,0.121,7,20,0.9996,0.76,0.121,0.38,10.4,6
6.8,0.77,0.68,0,1.8,0.066,34,52,0.9976,0.68,0.066,0.77,9.9,5
9.5,0.56,0.73,0.33,2.4,0.089,35,67,0.9972,0.73,0.089,0.56,11.8,7
6.6,0.84,0.56,0.03,2.3,0.059,32,48,0.9952,0.56,0.059,0.84,12.3,7
7.7,0.96,0.44,0.2,2,0.047,15,60,0.9955,0.44,0.047,0.96,10.9,5
10.5,0.24,0.9,0.47,2.1,0.066,6,24,0.9978,0.9,0.066,0.24,11,7
7.7,0.96,0.44,0.2,2,0.047,15,60,0.9955,0.44,0.047,0.96,10.9,5
6.6,0.84,0.56,0.03,2.3,0.059,32,48,0.9952,0.56,0.059,0.84,12.3,7
6.4,0.67,0.49,0.08,2.1,0.045,19,48,0.9949,0.49,0.045,0.67,11.4,6
9.5,0.78,0.56,0.22,1.9,0.077,6,32,0.9988,0.56,0.077,0.78,10.6,6
9.1,0.52,0.6,0.33,1.3,0.07,9,30,0.9978,0.6,0.07,0.52,9.3,5
12.8,0.84,0.6,0.63,2.4,0.088,13,35,0.9997,0.6,0.088,0.84,10.4,6
10.5,0.24,0.9,0.47,2.1,0.066,6,24,0.9978,0.9,0.066,0.24,11,7
7.8,0.55,0.56,0.35,2.2,0.074,21,66,0.9974,0.56,0.074,0.55,9.2,5
11.9,0.37,0.65,0.69,2.3,0.078,12,24,0.9958,0.65,0.078,0.37,12.8,6
12.3,0.39,0.49,0.63,2.3,0.091,6,18,1.0004,0.49,0.091,0.39,9.5,5
10.4,0.41,0.89,0.55,3.2,0.076,22,54,0.9996,0.89,0.076,0.41,9.9,6
12.3,0.39,0.49,0.63,2.3,0.091,6,18,1.0004,0.49,0.091,0.39,9.5,5
8,0.67,0.56,0.3,2,0.06,38,62,0.9958,0.56,0.06,0.67,10.2,6
11.1,0.45,0.66,0.73,3.2,0.066,6,22,0.9986,0.66,0.066,0.45,11.2,6
10.4,0.41,0.89,0.55,3.2,0.076,22,54,0.9996,0.89,0.076,0.41,9.9,6
7,0.62,0.6,0.18,1.5,0.062,7,50,0.9951,0.6,0.062,0.62,9.3,5
12.6,0.31,0.82,0.72,2.2,0.072,6,29,0.9987,0.82,0.072,0.31,9.8,8
11.9,0.4,0.68,0.65,2.15,0.068,7,27,0.9988,0.68,0.068,0.4,11.3,6
15.6,0.685,0.68,0.76,3.7,0.1,6,43,1.0032,0.68,0.1,0.685,11.2,7
10,0.44,0.63,0.49,2.7,0.077,11,19,0.9963,0.63,0.077,0.44,11.6,7
5.3,0.57,0.84,0.01,1.7,0.054,5,27,0.9934,0.84,0.054,0.57,12.5,7
9.5,0.735,0.56,0.1,2.1,0.079,6,31,0.9986,0.56,0.079,0.735,10.1,6
12.5,0.38,0.73,0.6,2.6,0.081,31,72,0.9996,0.73,0.081,0.38,10.5,5
9.3,0.48,0.72,0.29,2.1,0.127,6,16,0.9968,0.72,0.127,0.48,11.2,5
8.6,0.53,0.56,0.22,2,0.1,7,27,0.9967,0.56,0.1,0.53,10.2,6
11.9,0.39,0.61,0.69,2.8,0.095,17,35,0.9994,0.61,0.095,0.39,10.8,6
11.9,0.39,0.61,0.69,2.8,0.095,17,35,0.9994,0.61,0.095,0.39,10.8,6
8.4,0.37,1.06,0.53,1.8,0.413,9,26,0.9979,1.06,0.413,0.37,9.1,6
6.8,0.56,0.63,0.03,1.7,0.084,18,35,0.9968,0.63,0.084,0.56,10,6
10.4,0.33,0.74,0.63,2.8,0.084,5,22,0.9998,0.74,0.084,0.33,11.2,7
7,0.23,0.63,0.4,1.6,0.063,21,67,0.9952,0.63,0.063,0.23,11.1,5
11.3,0.62,0.69,0.67,5.2,0.086,6,19,0.9988,0.69,0.086,0.62,13.4,8
8.9,0.59,0.58,0.39,2.3,0.095,5,22,0.9986,0.58,0.095,0.59,10.3,5
9.2,0.63,0.58,0.21,2.7,0.097,29,65,0.9988,0.58,0.097,0.63,9.6,5
10.4,0.33,0.74,0.63,2.8,0.084,5,22,0.9998,0.74,0.084,0.33,11.2,7
11.6,0.58,0.57,0.66,2.2,0.074,10,47,1.0008,0.57,0.074,0.58,9,3
9.2,0.43,0.61,0.52,2.3,0.083,14,23,0.9976,0.61,0.083,0.43,11.3,6
8.3,0.615,0.61,0.22,2.6,0.087,6,19,0.9982,0.61,0.087,0.615,9.3,5
11,0.26,0.61,0.68,2.55,0.085,10,25,0.997,0.61,0.085,0.26,11.8,5
8.1,0.66,0.53,0.7,2.2,0.098,25,129,0.9972,0.53,0.098,0.66,9,5
11.5,0.315,0.7,0.54,2.1,0.084,5,15,0.9987,0.7,0.084,0.315,9.2,6
10,0.29,0.91,0.4,2.9,0.098,10,26,1.0006,0.91,0.098,0.29,9.7,5
10.3,0.5,0.72,0.42,2,0.069,21,51,0.9982,0.72,0.069,0.5,11.5,6
8.8,0.46,0.79,0.45,2.6,0.065,7,18,0.9947,0.79,0.065,0.46,14,6
11.4,0.36,0.62,0.69,2.1,0.09,6,21,1,0.62,0.09,0.36,9.2,6
8.7,0.82,0.58,0.02,1.2,0.07,36,48,0.9952,0.58,0.07,0.82,9.8,5
13,0.32,0.61,0.65,2.6,0.093,15,47,0.9996,0.61,0.093,0.32,10.6,5
9.6,0.54,0.71,0.42,2.4,0.081,25,52,0.997,0.71,0.081,0.54,11.4,6
12.5,0.37,0.82,0.55,2.6,0.083,25,68,0.9995,0.82,0.083,0.37,10.4,6
9.9,0.35,0.79,0.55,2.1,0.062,5,14,0.9971,0.79,0.062,0.35,10.6,5
10.5,0.28,0.89,0.51,1.7,0.08,10,24,0.9982,0.89,0.08,0.28,9.4,6
9.6,0.68,0.6,0.24,2.2,0.087,5,28,0.9988,0.6,0.087,0.68,10.2,5
9.3,0.27,0.7,0.41,2,0.091,6,16,0.998,0.7,0.091,0.27,9.7,5
10.4,0.24,1.06,0.49,1.8,0.075,6,20,0.9977,1.06,0.075,0.24,11,6
9.6,0.68,0.6,0.24,2.2,0.087,5,28,0.9988,0.6,0.087,0.68,10.2,5
9.4,0.685,0.7,0.11,2.7,0.077,6,31,0.9984,0.7,0.077,0.685,10.1,6
10.6,0.28,0.66,0.39,15.5,0.069,6,23,1.0026,0.66,0.069,0.28,9.2,5
9.4,0.3,0.92,0.56,2.8,0.08,6,17,0.9964,0.92,0.08,0.3,11.7,8
10.6,0.36,1.05,0.59,2.2,0.152,6,18,0.9986,1.05,0.152,0.36,9.4,5
10.6,0.36,1.06,0.6,2.2,0.152,7,18,0.9986,1.06,0.152,0.36,9.4,5
10.6,0.44,0.66,0.68,4.1,0.114,6,24,0.997,0.66,0.114,0.44,13.4,6
10.2,0.67,0.47,0.39,1.9,0.054,6,17,0.9976,0.47,0.054,0.67,10,5
10.2,0.67,0.47,0.39,1.9,0.054,6,17,0.9976,0.47,0.054,0.67,10,5
10.2,0.645,0.42,0.36,1.8,0.053,5,14,0.9982,0.42,0.053,0.645,10,6
11.6,0.32,0.92,0.55,2.8,0.081,35,67,1.0002,0.92,0.081,0.32,10.8,7
9.3,0.39,0.75,0.4,2.6,0.073,10,26,0.9984,0.75,0.073,0.39,10.2,6
9.3,0.775,0.67,0.27,2.8,0.078,24,56,0.9984,0.67,0.078,0.775,10.6,6
9.2,0.41,0.79,0.5,2.5,0.055,12,25,0.9952,0.79,0.055,0.41,13.3,7
8.9,0.4,0.9,0.51,2.6,0.052,13,27,0.995,0.9,0.052,0.4,13.4,7
8.7,0.69,0.74,0.31,3,0.086,23,81,1.0002,0.74,0.086,0.69,11.6,6
6.5,0.39,0.55,0.23,8.3,0.051,28,91,0.9952,0.55,0.051,0.39,12.1,6
10.7,0.35,0.65,0.53,2.6,0.07,5,16,0.9972,0.65,0.07,0.35,11,8
7.8,0.52,0.65,0.25,1.9,0.081,14,38,0.9984,0.65,0.081,0.52,9,6
7.2,0.34,0.79,0.32,2.5,0.09,43,113,0.9966,0.79,0.09,0.34,11.1,5
10.7,0.35,0.65,0.53,2.6,0.07,5,16,0.9972,0.65,0.07,0.35,11,8
8.7,0.69,0.74,0.31,3,0.086,23,81,1.0002,0.74,0.086,0.69,11.6,6
7.8,0.52,0.65,0.25,1.9,0.081,14,38,0.9984,0.65,0.081,0.52,9,6
10.4,0.44,0.85,0.73,6.55,0.074,38,76,0.999,0.85,0.074,0.44,12,7
10.4,0.44,0.85,0.73,6.55,0.074,38,76,0.999,0.85,0.074,0.44,12,7
10.5,0.26,1.04,0.47,1.9,0.078,6,24,0.9976,1.04,0.078,0.26,10.9,7
10.5,0.24,1.05,0.42,1.8,0.077,6,22,0.9976,1.05,0.077,0.24,10.8,7
10.2,0.49,0.78,0.63,2.9,0.072,10,26,0.9968,0.78,0.072,0.49,12.5,7
10.4,0.24,1.02,0.46,1.8,0.075,6,21,0.9976,1.02,0.075,0.24,10.8,7
11.2,0.67,0.71,0.55,2.3,0.084,6,13,1,0.71,0.084,0.67,9.5,6
10,0.59,0.63,0.31,2.2,0.09,26,62,0.9994,0.63,0.09,0.59,10.2,6
13.3,0.29,0.68,0.75,2.8,0.084,23,43,0.9986,0.68,0.084,0.29,11.4,7
12.4,0.42,0.61,0.49,4.6,0.073,19,43,0.9978,0.61,0.073,0.42,9.5,5
10,0.59,0.63,0.31,2.2,0.09,26,62,0.9994,0.63,0.09,0.59,10.2,6
10.7,0.4,0.81,0.48,2.1,0.125,15,49,0.998,0.81,0.125,0.4,9.7,6
10.5,0.51,0.66,0.64,2.4,0.107,6,15,0.9973,0.66,0.107,0.51,11.8,7
10.5,0.51,0.66,0.64,2.4,0.107,6,15,0.9973,0.66,0.107,0.51,11.8,7
8.5,0.655,1.14,0.49,6.1,0.122,34,151,1.001,1.14,0.122,0.655,9.3,5
12.5,0.6,0.74,0.49,4.3,0.1,5,14,1.001,0.74,0.1,0.6,11.9,6
10.4,0.61,0.63,0.49,2.1,0.2,5,16,0.9994,0.63,0.2,0.61,8.4,3
10.9,0.21,0.68,0.49,2.8,0.088,11,32,0.9972,0.68,0.088,0.21,11.7,6
7.3,0.365,0.78,0.49,2.5,0.088,39,106,0.9966,0.78,0.088,0.365,11,5
9.8,0.25,0.9,0.49,2.7,0.088,15,33,0.9982,0.9,0.088,0.25,10,6
7.6,0.41,0.64,0.49,2,0.088,16,43,0.998,0.64,0.088,0.41,9.1,5
8.2,0.39,0.99,0.49,2.3,0.099,47,133,0.9979,0.99,0.099,0.39,9.8,5
9.3,0.4,0.55,0.49,2.5,0.085,38,142,0.9978,0.55,0.085,0.4,9.4,5
9.2,0.43,0.64,0.49,2.4,0.086,23,116,0.9976,0.64,0.086,0.43,9.5,5
10.4,0.64,0.67,0.24,2.8,0.105,29,53,0.9998,0.67,0.105,0.64,9.9,5
7.3,0.365,0.78,0.49,2.5,0.088,39,106,0.9966,0.78,0.088,0.365,11,5
7,0.38,0.77,0.49,2.5,0.097,33,85,0.9962,0.77,0.097,0.38,11.4,6
8.2,0.42,0.75,0.49,2.6,0.084,32,55,0.9988,0.75,0.084,0.42,8.7,6
9.9,0.63,0.57,0.24,2.4,0.077,6,33,0.9974,0.57,0.077,0.63,9.4,5
9.1,0.22,0.87,0.24,2.1,0.078,1,28,0.999,0.87,0.078,0.22,10.3,6
11.9,0.38,0.61,0.49,2.7,0.098,12,42,1.0004,0.61,0.098,0.38,10.3,5
11.9,0.38,0.61,0.49,2.7,0.098,12,42,1.0004,0.61,0.098,0.38,10.3,5
10.3,0.27,0.66,0.24,2.1,0.072,15,33,0.9956,0.66,0.072,0.27,12.8,6
10,0.48,0.56,0.24,2.7,0.102,13,32,1,0.56,0.102,0.48,10,6
9.1,0.22,0.87,0.24,2.1,0.078,1,28,0.999,0.87,0.078,0.22,10.3,6
9.9,0.63,0.57,0.24,2.4,0.077,6,33,0.9974,0.57,0.077,0.63,9.4,5
8.1,0.825,0.77,0.24,2.1,0.084,5,13,0.9972,0.77,0.084,0.825,10.7,6
12.9,0.35,0.66,0.49,5.8,0.066,5,35,1.0014,0.66,0.066,0.35,12,7
11.2,0.5,0.62,0.74,5.15,0.1,5,17,0.9996,0.62,0.1,0.5,11.2,5
9.2,0.59,0.67,0.24,3.3,0.101,20,47,0.9988,0.67,0.101,0.59,9.6,5
9.5,0.46,0.73,0.49,6.3,0.064,5,17,0.9988,0.73,0.064,0.46,11,6
9.3,0.715,0.59,0.24,2.1,0.07,5,20,0.9966,0.59,0.07,0.715,9.9,5
11.2,0.66,0.72,0.24,2.5,0.085,16,53,0.9993,0.72,0.085,0.66,11,6
14.3,0.31,0.79,0.74,1.8,0.075,6,15,1.0008,0.79,0.075,0.31,8.4,6
9.1,0.47,0.59,0.49,2.6,0.094,38,106,0.9982,0.59,0.094,0.47,9.1,5
7.5,0.55,0.78,0.24,2,0.078,10,28,0.9983,0.78,0.078,0.55,9.5,6
10.6,0.31,0.86,0.49,2.5,0.067,6,21,0.9987,0.86,0.067,0.31,10.7,6
12.4,0.35,0.75,0.49,2.6,0.079,27,69,0.9994,0.75,0.079,0.35,10.4,6
9,0.53,0.61,0.49,1.9,0.171,6,25,0.9975,0.61,0.171,0.53,9.4,6
6.8,0.51,0.56,0.01,2.1,0.074,9,25,0.9958,0.56,0.074,0.51,9.5,6
9.4,0.43,0.73,0.24,2.8,0.092,14,45,0.998,0.73,0.092,0.43,10,6
9.5,0.46,0.74,0.24,2.7,0.092,14,44,0.998,0.74,0.092,0.46,10,6
5,1.04,0.62,0.24,1.6,0.05,32,96,0.9934,0.62,0.05,1.04,11.5,5
15.5,0.645,0.74,0.49,4.2,0.095,10,23,1.00315,0.74,0.095,0.645,11.1,5
